method,transform,representation,metric,n,mean,std,median,min,max
BP,scale_1.10,layer4_pooled,cp_coefficient_entropy,32,0.4011771974619478,0.4735294010749826,0.20981770753860474,-0.0,1.6719883680343628
MSP,horizontal_flip,concat,bp_eq2_uniform,32,0.2744077048264444,0.03976735243828122,0.2866842597723007,0.1607099026441574,0.3354159891605377
MSP,horizontal_flip,concat,full_normalized_distance,32,0.7387677411513309,0.05599662927227795,0.7572094025948267,0.5669389784521036,0.8190433311620793
MSP,horizontal_flip,concat,bp_delta_from_original,32,0.03178417216986418,0.01470021513452908,0.028373464941978455,0.004950597882270813,0.07855527102947235
MSP,horizontal_flip,concat,bp_ratio_to_original,32,1.1371153868163133,0.08287648524288253,1.114863401505169,1.0317836413677317,1.4738952231144504
MSP,horizontal_flip,concat,cp_eq1_optimized,32,0.17710307240486145,0.02430501813425433,0.1788637936115265,0.12323252856731415,0.22418953478336334
MSP,horizontal_flip,concat,cp_delta_from_original,32,0.042071588803082705,0.017553525304004516,0.04229040443897247,0.013892292976379395,0.07636667788028717
MSP,horizontal_flip,concat,cp_ratio_to_original,32,1.3218220914992564,0.15156102652035378,1.3002437461211023,1.0949615660173264,1.6522403312591933
MSP,horizontal_flip,concat,cp_coefficient_entropy,32,1.9764928072690964,0.3173098105642845,2.000733256340027,1.2114924192428589,2.5509300231933594
MSP,horizontal_flip,layer2_flat,bp_eq2_uniform,32,0.26638933131471276,0.04890663492384984,0.2761932760477066,0.13167060911655426,0.34457504749298096
MSP,horizontal_flip,layer2_flat,full_normalized_distance,32,0.7266117300427812,0.07049360634407222,0.7432266141190922,0.5131678265763634,0.8301506459588898
MSP,horizontal_flip,layer2_flat,bp_delta_from_original,32,0.0432599529158324,0.017024845774778086,0.043210580945014954,0.011635519564151764,0.11169251799583435
MSP,horizontal_flip,layer2_flat,bp_ratio_to_original,32,1.2049777317296209,0.1250930854072246,1.1751722387831811,1.089525351220976,1.8089079659627494
MSP,horizontal_flip,layer2_flat,cp_eq1_optimized,32,0.1793484198860824,0.02690156138293332,0.18189217150211334,0.10334044694900513,0.22652077674865723
MSP,horizontal_flip,layer2_flat,cp_delta_from_original,32,0.05346629419364035,0.0171592312333058,0.05280061066150665,0.01977304369211197,0.09092199057340622
MSP,horizontal_flip,layer2_flat,cp_ratio_to_original,32,1.4360750926102541,0.1600869069982455,1.4382501417178775,1.1622856439094302,1.8097846012197532
MSP,horizontal_flip,layer2_flat,cp_coefficient_entropy,32,2.208225477486849,0.2508020353857,2.221773147583008,1.633357286453247,2.6105422973632812
MSP,horizontal_flip,layer3_flat,bp_eq2_uniform,32,0.28458559745922685,0.032910801521757856,0.2917216569185257,0.19850237667560577,0.36207085847854614
MSP,horizontal_flip,layer3_flat,full_normalized_distance,32,0.7531515714773986,0.04467985386614766,0.7638317034711368,0.6300831320954494,0.8509651678870835
MSP,horizontal_flip,layer3_flat,bp_delta_from_original,32,0.0204661856405437,0.01713038878836384,0.017985865473747253,-0.0033254623413085938,0.08056369423866272
MSP,horizontal_flip,layer3_flat,bp_ratio_to_original,32,1.0797645155295659,0.0665430114854868,1.069883737413593,0.9887902143425841,1.286187012170408
MSP,horizontal_flip,layer3_flat,cp_eq1_optimized,32,0.1715838541276753,0.030412619695461877,0.1760057955980301,0.10751651972532272,0.2380007952451706
MSP,horizontal_flip,layer3_flat,cp_delta_from_original,32,0.03113626060076058,0.022634198280595506,0.02955615520477295,-0.0005767643451690674,0.08850492537021637
MSP,horizontal_flip,layer3_flat,cp_ratio_to_original,32,1.2377932095251918,0.1859428198722277,1.174574595661659,0.9960312642780836,1.6857517959833932
MSP,horizontal_flip,layer3_flat,cp_coefficient_entropy,32,1.8180968016386032,0.3761661749484178,1.8722506165504456,1.0267665386199951,2.4248929023742676
MSP,horizontal_flip,layer4_pooled,bp_eq2_uniform,32,0.359685932751745,0.0656523464169705,0.3805404305458069,0.1935507357120514,0.4899338483810425
