target_index,bp_poison_count,msp_poison_count,method,transform,representation,bp_eq2_uniform,full_normalized_distance,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
20,10,10,BP,scale_1.10,layer4_pooled,0.4819859266281128,0.9818206828419462,-0.006172090768814087,0.9873563671007316,0.11745642870664597,0.020287305116653442,1.2087834526741996,0.3546154201030731,0.00000000 0.06699690 0.00000000 0.00000000 0.00000000 0.00000000 0.93300307 0.00000000 0.00000000 0.00000000
20,10,10,BP,scale_1.10,concat,0.30087897181510925,0.7757305870147306,0.008960753679275513,1.0306961098093415,0.20641043782234192,0.00675538182258606,1.033835265471867,2.048595905303955,0.22151703 0.19075318 0.01210008 0.05117721 0.08120271 0.00000000 0.44324976 0.00000000 0.00000000 0.00000000
20,10,10,BP,horizontal_flip,layer2_flat,0.2616463899612427,0.723389784225963,-0.005394667387008667,0.979798359695853,0.16613095998764038,-0.0025645792484283447,0.9847975870611236,2.393461227416992,0.21446252 0.23932004 0.03627549 0.01992615 0.01110622 0.09138328 0.33579841 0.05172792 0.00000000 0.00000000
20,10,10,BP,horizontal_flip,layer3_flat,0.31140589714050293,0.7891842587640772,-0.008653789758682251,0.9729619501834323,0.2150089144706726,-0.016102612018585205,0.9303253616852208,2.04038667678833,0.17540319 0.26895025 0.00000000 0.09611272 0.00000000 0.05755083 0.40198308 0.00000000 0.00000000 0.00000000
20,10,10,BP,horizontal_flip,layer4_pooled,0.4622800946235657,0.961540529175516,-0.025877922773361206,0.9469886351323273,0.09752300381660461,0.00035388022661209106,1.0036418999527221,0.8377587795257568,0.04162120 0.14521004 0.00000000 0.00000000 0.00000000 0.00000000 0.81316876 0.00000000 0.00000000 0.00000000
20,10,10,BP,horizontal_flip,concat,0.2837623059749603,0.7533422940137642,-0.008155912160873413,0.9720609689490143,0.18963542580604553,-0.010019630193710327,0.94981529446631,2.2305729389190674,0.20153597 0.24809402 0.02252905 0.06548955 0.00736455 0.07660062 0.37632445 0.00206183 0.00000000 0.00000000
20,10,10,MSP,original,layer2_flat,0.172247052192688,0.5869362012905457,0.0,1.0,0.09246625006198883,7.450580596923828e-09,1.000000080576223,2.060049533843994,0.17646702 0.34076518 0.01628490 0.01096905 0.01348034 0.01505018 0.37716019 0.04982315 0.00000000 0.00000000
20,10,10,MSP,original,layer3_flat,0.23678231239318848,0.6881603191018623,0.0,1.0,0.1287478357553482,0.0,1.0,1.6994307041168213,0.19269843 0.46573275 0.00000000 0.04756008 0.00000000 0.00000000 0.29400870 0.00000000 0.00000000 0.00000000
20,10,10,MSP,original,layer4_pooled,0.3633553385734558,0.8524732706348696,0.0,1.0,0.11401926726102829,7.450580596923828e-09,1.0000000653449304,1.4830536842346191,0.17433003 0.35906830 0.00000000 0.00000000 0.00000000 0.00000000 0.46660167 0.00000000 0.00000000 0.00000000
20,10,10,MSP,original,concat,0.2025122344493866,0.6364153273600293,0.0,1.0,0.11070968210697174,0.0,1.0,1.814497470855713,0.20189555 0.41721997 0.00000000 0.04007392 0.01400989 0.00000000 0.32407486 0.00272586 0.00000000 0.00000000
20,10,10,MSP,rotate_-10,layer2_flat,0.20230095088481903,0.6360832506595643,0.030053898692131042,1.1744813528555258,0.122574582695961,0.030108340084552765,1.325614399741084,2.0052194595336914,0.16000290 0.30666196 0.00058556 0.00285928 0.00000000 0.05162983 0.40349752 0.07476294 0.00000000 0.00000000
20,10,10,MSP,rotate_-10,layer3_flat,0.23890730738639832,0.6912413578286506,0.002124994993209839,1.008974466765373,0.13767951726913452,0.008931681513786316,1.0693734497462877,1.821395993232727,0.11381768 0.43261504 0.00000000 0.02807817 0.06909806 0.00000000 0.35639104 0.00000000 0.00000000 0.00000000
20,10,10,MSP,rotate_-10,layer4_pooled,0.3538750410079956,0.8412788372567036,-0.009480297565460205,0.973909018090517,0.06819936633110046,-0.04581989347934723,0.5981390025236171,1.4942607879638672,0.18812737 0.34078848 0.00000000 0.00000000 0.00000000 0.00000000 0.47108409 0.00000000 0.00000000 0.00000000
20,10,10,MSP,rotate_-10,concat,0.2186504453420639,0.6612872981421372,0.016138210892677307,1.0796900539687195,0.13076251745224,0.02005283534526825,1.1811299153195232,1.9872276782989502,0.14527687 0.37698978 0.00000000 0.01744886 0.03195575 0.01200862 0.37672144 0.03959867 0.00000000 0.00000000
20,10,10,MSP,rotate_+10,layer2_flat,0.20100480318069458,0.6340422749008059,0.028757750988006592,1.1669564188283996,0.12254193425178528,0.030075691640377045,1.3252613147313193,2.0929973125457764,0.22497913 0.35467115 0.00000000 0.03825630 0.02106381 0.04498519 0.30791378 0.00813056 0.00000000 0.00000000
